pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-40,0-0,0-0,,222949,1.0,222949.0,7,1.0,11,Deuce,Cassius Chinlund,Near,,,,,,,,,,139.94832677158124,-510.689731,Crosscourt,Forehand,,,,,,,,,,-161.1867126,374.7673611109175,,,1.0,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,Greg Gamal,1,,,
0-0,0-1,0-0,1.0,284989,,,8,,1,Deuce,Greg Gamal,Near,1.0,Body,-64.607535,196.08596894128107,,,,,,51.20973862639524,-446.3972496,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,2,True,,Cassius Chinlund,Greg Gamal,,,,,,1st Serve In,Body,
0-0,0-1,0-0,,285920,,,8,,2,Deuce,Greg Gamal,Near,,,,,,,,,,-110.8671697,462.0577209096475,Crosscourt,Forehand,,,,,,,,,,86.72601159225617,-334.2336942,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,2,False,,Cassius Chinlund,Cassius Chinlund,1.0,,,,,,,Short
0-0,0-1,0-0,,287450,1.0,287450.0,8,,3,Deuce,Greg Gamal,Near,,,,,,,,,,89.63571194221092,-501.7186844,Crosscourt,Forehand,,,,,,,,,,-161.5714676,403.33553696392113,,,1.0,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,2,False,,Cassius Chinlund,Greg Gamal,,,,Cassius Chinlund,1,,,
15-0,0-1,0-0,1.0,303519,,,9,,1,Ad,Greg Gamal,Near,1.0,Wide,151.55520559922178,196.85509623786865,,,,,,-21.25017498,-448.1914589,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,2,False,,Cassius Chinlund,Greg Gamal,,,,,,1st Serve In,Wide,
15-0,0-1,0-0,,304420,1.0,304420.0,9,,2,Ad,Greg Gamal,Near,,,,,,,,,,175.08493547672495,579.8774660976882,Down the Line,Backhand,1.0,,,,,,,,,152.13398403316725,224.1957458441537,,,,1.0,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,,2,False,,Cassius Chinlund,Cassius Chinlund,,1.0,,Greg Gamal,1,,,
30-0,0-1,0-0,1.0,326519,,,10,,1,Deuce,Greg Gamal,Near,1.0,T,-37.3233049,240.5551454504444,,,,,,49.93884514433116,-450.3969105,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,,2,False,,Cassius Chinlund,Greg Gamal,,,,,,1st Serve In,T,
30-0,0-1,0-0,,327320,1.0,327320.0,10,,2,Deuce,Greg Gamal,Near,,,,,,,,,,-72.06738845,488.97086067341314,Crosscourt,Backhand,,,,,,,,,,16.743044619413922,-520.0933782,,,,,1.0,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,2,False,,Cassius Chinlund,Cassius Chinlund,,,,Greg Gamal,1,,,Long
40-0,0-1,0-0,1.0,341989,,,11,,1,Ad,Greg Gamal,Near,1.0,Body,84.87155512,212.1035979876419,,,,,,-21.9416776,-461.3489939,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,2,False,,Cassius Chinlund,Greg Gamal,,,,,,1st Serve In,Body,
40-0,0-1,0-0,,342850,,,11,,2,Ad,Greg Gamal,Near,,,,,,,,,,114.60513451437647,490.7650699909975,Down the Line,Backhand,,,,,,,,,,154.2962981189054,-188.3741798,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,2,False,,Cassius Chinlund,Cassius Chinlund,,1.0,,,,,,Short
