pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,0-0,0-0,,124928.0,,,3,,6,Deuce,David Fix,Far,,,,,,,,,,159.6846293,-508.8955217,Crosscourt,Backhand,,,,,,,,,,-42.27742782,318.5432524,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-15,0-0,0-0,,126398.0,,,3,,7,Deuce,David Fix,Far,,,,,,,,,,-65.1522091,518.2762795,Down the Line,Forehand,,,,,,,,,,-89.11767826,-301.9128937,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
15-15,0-0,0-0,,127729.0,,,3,,8,Ad,David Fix,Far,,,,,,,,,,-85.07541557,-558.8343668,Crosscourt,Forehand,,,,,,,,,,108.67722,304.3570374,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-15,0-0,0-0,,129229.0,,,3,,9,Ad,David Fix,Far,,,,,,,,,,124.6975284,478.2056048,Down the Line,Backhand,,,,,,,,,,33.18052822,-181.7100558,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
15-15,0-0,0-0,,130749.0,,,3,,10,Ad,David Fix,Far,,,,,,,,,,-15.83015092,-474.5065289,Crosscourt,Forehand,,,,,,,,,,98.53640639,300.3798447,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-15,0-0,0-0,,132128.0,,,3,,11,Ad,David Fix,Far,,,,,,,,,,136.6589239,521.8646982,Down the Line,Backhand,,,,,,,,,,8.000278871,-360.9376531,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Deep
15-15,0-0,0-0,,133348.0,,,3,,12,Ad,David Fix,Far,,,,,,,,,,-6.44326881,-518.1656223,Crosscourt,Forehand,,,,,,,,,,31.50222003,217.4816328,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-15,0-0,0-0,,134759.0,,,3,,13,Ad,David Fix,Far,,,,,,,,,,47.47177384,519.4724191,Down the Line,Forehand,,,,,,,,,,151.5417706,-264.3105151,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,1.0,,,,,,Short
15-15,0-0,0-0,,136529.0,,,3,,14,Deuce,David Fix,Far,,,,,,,,,,139.724065,-263.8364611,Down the Line,Backhand,1.0,,,,,,,,,70.98339895,285.4103784,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-15,0-0,0-0,,137428.0,1.0,137428.0,3,,15,Ad,David Fix,Far,,,,,,,,,,70.98339895,331.6785105,Crosscourt,Forehand,,,1.0,,,,,,,-100.0272747,-192.253423,1.0,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,1.0,,,David Fix,,,,Short
